price,parking,area,stories,bathrooms,bedrooms,KPI_Area_per_Furnishing,KPI_AirConditioning_Area_Ratio,KPI_Area_per_SemiFurnished,KPI_Bathrooms_per_Furnishing,KPI_Area_per_Guestroom,KPI_Bedrooms_per_Guestroom
7210000,1,7680,4,2,4,inf,7680,7680.0,2.0,7680.0,4.0
7210000,1,6000,4,2,3,6000.0,6000,inf,2.0,6000.0,3.0
7140000,1,6000,2,2,3,inf,0,6000.0,2.0,6000.0,3.0
7070000,1,8880,1,1,2,inf,8880,8880.0,1.0,inf,inf
7070000,1,6240,2,2,4,6240.0,6240,inf,2.0,inf,inf
7035000,2,6360,3,2,4,6360.0,6360,inf,2.0,inf,inf
7000000,1,11175,1,1,3,11175.0,11175,inf,1.0,inf,inf
6930000,1,8880,2,2,3,8880.0,8880,inf,2.0,inf,inf
6930000,1,13200,1,1,2,13200.0,0,inf,1.0,inf,inf
6895000,2,7700,1,2,3,7700.0,0,inf,2.0,inf,inf
6860000,1,6000,1,1,3,6000.0,6000,inf,1.0,inf,inf
6790000,2,12090,2,2,4,12090.0,0,inf,2.0,inf,inf
6790000,0,4000,2,2,3,inf,4000,4000.0,2.0,inf,inf
6755000,0,6000,4,2,4,6000.0,6000,inf,2.0,inf,inf
6720000,0,5020,4,1,3,5020.0,5020,inf,1.0,inf,inf
6685000,0,6600,4,2,2,6600.0,0,inf,2.0,inf,inf
6650000,1,4040,2,1,3,4040.0,0,inf,1.0,inf,inf
6650000,0,4260,2,2,4,inf,0,4260.0,2.0,inf,inf
6650000,0,6420,3,2,3,6420.0,6420,inf,2.0,inf,inf
6650000,0,6500,3,2,3,6500.0,6500,inf,2.0,inf,inf
6650000,2,5700,1,1,3,5700.0,5700,inf,1.0,5700.0,3.0
6650000,0,6000,3,2,3,6000.0,6000,inf,2.0,6000.0,3.0
6629000,1,6000,2,1,3,inf,0,6000.0,1.0,inf,inf
6615000,1,4000,2,2,3,inf,4000,4000.0,2.0,inf,inf
6615000,1,10500,1,2,3,10500.0,10500,inf,2.0,inf,inf
6580000,0,6000,4,2,3,inf,6000,6000.0,2.0,inf,inf
6510000,2,3760,2,1,3,inf,0,3760.0,1.0,inf,inf
6510000,0,8250,3,2,3,8250.0,8250,inf,2.0,inf,inf
6510000,0,6670,3,1,3,6670.0,0,inf,1.0,inf,inf
6475000,2,3960,1,1,3,inf,0,3960.0,1.0,inf,inf
6475000,2,7410,1,1,3,7410.0,7410,inf,1.0,7410.0,3.0
6440000,2,8580,2,3,5,8580.0,0,inf,3.0,inf,inf
6440000,0,5000,2,1,3,inf,5000,5000.0,1.0,inf,inf
6419000,2,6750,1,1,2,6750.0,0,inf,1.0,6750.0,2.0
6405000,0,4800,4,2,3,4800.0,4800,inf,2.0,4800.0,3.0
6300000,3,7200,1,2,3,inf,7200,7200.0,2.0,inf,inf
6300000,1,6000,4,2,4,inf,0,6000.0,2.0,inf,inf
6300000,2,4100,3,2,3,inf,4100,4100.0,2.0,inf,inf
6300000,1,9000,1,1,3,9000.0,0,inf,1.0,inf,inf
6300000,1,6400,1,1,3,inf,6400,6400.0,1.0,6400.0,3.0
6293000,0,6600,3,2,3,6600.0,6600,inf,2.0,inf,inf
6265000,0,6000,3,1,4,6000.0,0,inf,1.0,6000.0,4.0
6230000,0,6600,1,2,3,6600.0,6600,inf,2.0,inf,inf
6230000,1,5500,3,1,3,5500.0,0,inf,1.0,inf,inf
6195000,1,5500,4,2,3,inf,5500,5500.0,2.0,5500.0,3.0
6195000,0,6350,3,2,3,6350.0,6350,inf,2.0,6350.0,3.0
6195000,2,5500,1,2,3,5500.0,0,inf,2.0,5500.0,3.0
6160000,0,4500,4,1,3,4500.0,4500,inf,1.0,inf,inf
6160000,0,5450,1,2,4,inf,5450,5450.0,2.0,inf,inf
6125000,0,6420,3,1,3,6420.0,0,inf,1.0,inf,inf
6107500,1,3240,3,1,4,inf,0,3240.0,1.0,inf,inf
6090000,1,6615,2,2,4,inf,0,6615.0,2.0,6615.0,4.0
6090000,2,6600,1,1,3,inf,0,6600.0,1.0,6600.0,3.0
6090000,2,8372,3,1,3,8372.0,8372,inf,1.0,inf,inf
6083000,0,4300,2,2,6,4300.0,0,inf,2.0,inf,inf
6083000,2,9620,1,1,3,9620.0,0,inf,1.0,inf,inf
6020000,2,6800,1,1,2,6800.0,0,inf,1.0,6800.0,2.0
6020000,2,8000,1,1,3,inf,8000,8000.0,1.0,8000.0,3.0
6020000,0,6900,1,2,3,6900.0,0,inf,2.0,6900.0,3.0
5950000,0,3700,2,1,4,3700.0,3700,inf,1.0,3700.0,4.0
5950000,0,6420,1,1,3,6420.0,6420,inf,1.0,inf,inf
5950000,2,7020,1,1,3,inf,7020,7020.0,1.0,inf,inf
5950000,2,6540,1,1,3,6540.0,0,inf,1.0,6540.0,3.0
5950000,0,7231,2,1,3,inf,7231,7231.0,1.0,7231.0,3.0
5950000,1,6254,1,2,4,inf,0,6254.0,2.0,inf,inf
5950000,0,7320,2,2,4,7320.0,0,inf,2.0,inf,inf
5950000,1,6525,4,2,3,6525.0,0,inf,2.0,inf,inf
5943000,2,15600,1,1,3,inf,15600,15600.0,1.0,inf,inf
5880000,2,7160,1,1,3,7160.0,0,inf,1.0,inf,inf
5880000,0,6500,3,2,3,6500.0,6500,inf,2.0,inf,inf
5873000,1,5500,3,1,3,5500.0,5500,inf,1.0,5500.0,3.0
5873000,2,11460,3,1,3,inf,0,11460.0,1.0,inf,inf
5866000,0,4800,1,1,3,4800.0,0,inf,1.0,4800.0,3.0
5810000,0,5828,4,1,4,inf,0,5828.0,1.0,5828.0,4.0
5810000,0,5200,3,1,3,inf,5200,5200.0,1.0,inf,inf
5810000,0,4800,3,1,3,4800.0,4800,inf,1.0,inf,inf
5803000,2,7000,1,1,3,inf,0,7000.0,1.0,inf,inf
5775000,0,6000,4,2,3,6000.0,6000,inf,2.0,inf,inf
5740000,2,5400,2,2,4,5400.0,5400,inf,2.0,inf,inf
5740000,1,4640,2,1,4,inf,0,4640.0,1.0,inf,inf
5740000,0,5000,3,1,3,inf,5000,5000.0,1.0,inf,inf
5740000,2,6360,1,1,3,6360.0,6360,inf,1.0,6360.0,3.0
5740000,0,5800,4,2,3,5800.0,5800,inf,2.0,inf,inf
5652500,1,6660,2,2,4,inf,0,6660.0,2.0,6660.0,4.0
5600000,1,10500,2,2,4,inf,0,10500.0,2.0,inf,inf
5600000,0,4800,3,2,5,4800.0,0,inf,2.0,inf,inf
5600000,1,4700,2,1,4,4700.0,4700,inf,1.0,4700.0,4.0
5600000,0,5000,4,1,3,5000.0,0,inf,1.0,inf,inf
5600000,1,10500,1,1,2,inf,0,10500.0,1.0,inf,inf
5600000,1,5500,2,2,3,inf,0,5500.0,2.0,inf,inf
5600000,0,6360,3,1,3,inf,0,6360.0,1.0,inf,inf
5600000,0,6600,1,2,4,inf,0,6600.0,2.0,inf,inf
5600000,0,5136,2,1,3,5136.0,5136,inf,1.0,5136.0,3.0
5565000,2,4400,2,1,4,inf,4400,4400.0,1.0,inf,inf
5565000,0,5400,2,1,5,5400.0,5400,inf,1.0,5400.0,5.0
5530000,0,3300,2,3,3,inf,0,3300.0,3.0,inf,inf
5530000,2,3650,2,2,3,inf,0,3650.0,2.0,inf,inf
5530000,2,6100,1,2,3,6100.0,0,inf,2.0,inf,inf
5523000,0,6900,1,1,3,inf,0,6900.0,1.0,6900.0,3.0
5495000,1,2817,2,2,4,2817.0,0,inf,2.0,2817.0,4.0
5495000,2,7980,1,1,3,inf,0,7980.0,1.0,inf,inf
5460000,0,3150,1,2,3,3150.0,3150,inf,2.0,3150.0,3.0
5460000,0,6210,4,1,4,6210.0,6210,inf,1.0,6210.0,4.0
5460000,0,6100,3,1,3,inf,6100,6100.0,1.0,6100.0,3.0
5460000,0,6600,2,2,4,inf,0,6600.0,2.0,6600.0,4.0
5425000,0,6825,1,1,3,inf,6825,6825.0,1.0,6825.0,3.0
5390000,1,6710,2,2,3,6710.0,0,inf,2.0,6710.0,3.0
5383000,0,6450,1,2,3,6450.0,0,inf,2.0,6450.0,3.0
5320000,2,7800,1,1,3,7800.0,7800,inf,1.0,inf,inf
5285000,2,4600,1,2,2,inf,4600,4600.0,2.0,inf,inf
5250000,0,4260,2,1,4,4260.0,4260,inf,1.0,inf,inf
5250000,0,6540,2,2,4,inf,6540,6540.0,2.0,inf,inf
5250000,0,5500,1,2,3,inf,0,5500.0,2.0,inf,inf
5250000,1,10269,1,1,3,inf,0,10269.0,1.0,inf,inf
5250000,2,8400,2,1,3,8400.0,8400,inf,1.0,8400.0,3.0
5250000,0,5300,1,2,4,5300.0,5300,inf,2.0,inf,inf
5250000,1,3800,2,1,3,3800.0,0,inf,1.0,3800.0,3.0
5250000,2,9800,2,2,4,inf,0,9800.0,2.0,9800.0,4.0
5250000,2,8520,1,1,3,8520.0,8520,inf,1.0,inf,inf
5243000,0,6050,1,1,3,inf,0,6050.0,1.0,inf,inf
5229000,2,7085,1,1,3,inf,0,7085.0,1.0,7085.0,3.0
5215000,2,3180,2,2,3,inf,0,3180.0,2.0,inf,inf
5215000,2,4500,1,2,4,inf,4500,4500.0,2.0,inf,inf
5215000,1,7200,2,1,3,7200.0,0,inf,1.0,7200.0,3.0
5145000,0,3410,2,1,3,inf,3410,3410.0,1.0,inf,inf
5145000,1,7980,1,1,3,inf,0,7980.0,1.0,inf,inf
5110000,0,3000,2,2,3,3000.0,0,inf,2.0,3000.0,3.0
5110000,0,3000,2,1,3,3000.0,0,inf,1.0,inf,inf
5110000,0,11410,2,1,2,11410.0,0,inf,1.0,inf,inf
5110000,0,6100,1,1,3,inf,6100,6100.0,1.0,inf,inf
5075000,0,5720,2,1,2,5720.0,5720,inf,1.0,inf,inf
5040000,0,3540,1,1,2,inf,0,3540.0,1.0,3540.0,2.0
5040000,2,7600,2,1,4,7600.0,7600,inf,1.0,inf,inf
5040000,0,10700,2,1,3,inf,0,10700.0,1.0,10700.0,3.0
5040000,0,6600,1,1,3,6600.0,0,inf,1.0,6600.0,3.0
5033000,0,4800,1,1,2,inf,0,4800.0,1.0,4800.0,2.0
5005000,0,8150,1,2,3,inf,0,8150.0,2.0,8150.0,3.0
4970000,2,4410,2,3,4,inf,0,4410.0,3.0,inf,inf
4970000,0,7686,1,1,3,inf,0,7686.0,1.0,7686.0,3.0
4956000,1,2800,2,2,3,inf,2800,2800.0,2.0,inf,inf
4935000,0,5948,2,1,3,inf,5948,5948.0,1.0,inf,inf
4907000,1,4200,2,1,3,4200.0,0,inf,1.0,inf,inf
4900000,0,4520,2,1,3,inf,4520,4520.0,1.0,inf,inf
4900000,0,4095,2,1,3,inf,4095,4095.0,1.0,4095.0,3.0
4900000,1,4120,1,1,2,inf,0,4120.0,1.0,inf,inf
4900000,0,5400,2,1,4,inf,0,5400.0,1.0,inf,inf
4900000,0,4770,1,1,3,inf,0,4770.0,1.0,4770.0,3.0
4900000,2,6300,1,1,3,inf,6300,6300.0,1.0,inf,inf
4900000,0,5800,1,1,2,inf,5800,5800.0,1.0,5800.0,2.0
4900000,0,3000,2,1,3,inf,3000,3000.0,1.0,inf,inf
4900000,0,2970,3,1,3,inf,0,2970.0,1.0,inf,inf
4900000,0,6720,1,1,3,6720.0,0,inf,1.0,inf,inf
4900000,2,4646,2,1,3,inf,0,4646.0,1.0,4646.0,3.0
4900000,2,12900,1,1,3,12900.0,0,inf,1.0,inf,inf
4893000,2,3420,2,2,4,inf,3420,3420.0,2.0,inf,inf
4893000,0,4995,1,2,4,inf,0,4995.0,2.0,inf,inf
4865000,0,4350,1,1,2,4350.0,0,inf,1.0,inf,inf
4830000,0,4160,3,1,3,4160.0,0,inf,1.0,inf,inf
4830000,2,6040,1,1,3,inf,0,6040.0,1.0,inf,inf
4830000,2,6862,2,1,3,6862.0,6862,inf,1.0,inf,inf
4830000,0,4815,1,1,2,inf,4815,4815.0,1.0,inf,inf
4795000,0,7000,2,1,3,7000.0,0,inf,1.0,inf,inf
4795000,2,8100,4,1,4,inf,8100,8100.0,1.0,inf,inf
4767000,0,3420,2,2,4,inf,0,3420.0,2.0,inf,inf
4760000,2,9166,1,1,2,inf,9166,9166.0,1.0,inf,inf
4760000,1,6321,2,1,3,6321.0,6321,inf,1.0,inf,inf
4760000,2,10240,1,1,2,10240.0,10240,inf,1.0,inf,inf
4753000,3,6440,1,1,2,inf,6440,6440.0,1.0,inf,inf
4690000,0,5170,4,1,3,inf,5170,5170.0,1.0,inf,inf
4690000,1,6000,1,1,2,6000.0,6000,inf,1.0,inf,inf
4690000,2,3630,2,1,3,inf,0,3630.0,1.0,inf,inf
4690000,1,9667,2,2,4,inf,0,9667.0,2.0,9667.0,4.0
4690000,0,5400,2,1,2,inf,0,5400.0,1.0,inf,inf
4690000,0,4320,1,1,3,inf,0,4320.0,1.0,inf,inf
4655000,0,3745,2,1,3,3745.0,0,inf,1.0,inf,inf
4620000,0,4160,1,1,3,4160.0,4160,inf,1.0,4160.0,3.0
4620000,2,3880,2,2,3,inf,0,3880.0,2.0,inf,inf
4620000,1,5680,2,1,3,inf,5680,5680.0,1.0,5680.0,3.0
4620000,0,2870,2,1,2,inf,0,2870.0,1.0,2870.0,2.0
4620000,0,5010,2,1,3,inf,0,5010.0,1.0,inf,inf
4613000,0,4510,2,2,4,inf,0,4510.0,2.0,inf,inf
4585000,1,4000,2,1,3,4000.0,0,inf,1.0,inf,inf
4585000,1,3840,2,1,3,inf,0,3840.0,1.0,inf,inf
4550000,2,3760,1,1,3,inf,0,3760.0,1.0,inf,inf
4550000,0,3640,2,1,3,3640.0,3640,inf,1.0,inf,inf
4550000,0,2550,2,1,3,2550.0,0,inf,1.0,inf,inf
4550000,0,5320,2,1,3,inf,0,5320.0,1.0,5320.0,3.0
4550000,2,5360,2,1,3,5360.0,0,inf,1.0,inf,inf
4550000,0,3520,1,1,3,inf,0,3520.0,1.0,inf,inf
4550000,3,8400,4,1,4,8400.0,0,inf,1.0,inf,inf
4543000,0,4100,1,2,2,inf,0,4100.0,2.0,4100.0,2.0
4543000,0,4990,2,2,4,4990.0,0,inf,2.0,4990.0,4.0
4515000,0,3510,3,1,3,inf,0,3510.0,1.0,inf,inf
4515000,1,3450,2,1,3,inf,0,3450.0,1.0,inf,inf
4515000,0,9860,1,1,3,inf,0,9860.0,1.0,inf,inf
4515000,0,3520,2,1,2,3520.0,0,inf,1.0,inf,inf
4480000,2,4510,2,1,4,inf,4510,4510.0,1.0,inf,inf
4480000,1,5885,1,1,2,5885.0,5885,inf,1.0,inf,inf
4480000,2,4000,2,1,3,4000.0,0,inf,1.0,inf,inf
4480000,0,8250,1,1,3,8250.0,0,inf,1.0,inf,inf
4480000,1,4040,2,1,3,inf,0,4040.0,1.0,inf,inf
4473000,1,6360,1,1,2,6360.0,6360,inf,1.0,inf,inf
4473000,1,3162,2,1,3,3162.0,3162,inf,1.0,inf,inf
4473000,0,3510,2,1,3,inf,0,3510.0,1.0,inf,inf
4445000,0,3750,1,1,2,inf,0,3750.0,1.0,3750.0,2.0
4410000,0,3968,2,1,3,inf,0,3968.0,1.0,inf,inf
4410000,0,4900,2,1,2,inf,0,4900.0,1.0,inf,inf
4403000,0,2880,2,1,3,inf,0,2880.0,1.0,inf,inf
4403000,2,4880,1,1,3,4880.0,0,inf,1.0,inf,inf
4403000,1,4920,2,1,3,inf,0,4920.0,1.0,inf,inf
4382000,0,4950,2,1,4,inf,4950,4950.0,1.0,inf,inf
4375000,0,3900,2,1,3,3900.0,0,inf,1.0,inf,inf
4340000,1,4500,3,2,3,4500.0,0,inf,2.0,inf,inf
4340000,0,1905,2,1,5,inf,0,1905.0,1.0,inf,inf
4340000,2,4075,1,1,3,inf,0,4075.0,1.0,4075.0,3.0
4340000,2,3500,2,1,4,3500.0,0,inf,1.0,inf,inf
4340000,0,6450,2,1,4,inf,0,6450.0,1.0,inf,inf
4319000,0,4032,1,1,2,4032.0,0,inf,1.0,inf,inf
4305000,1,4400,1,1,2,inf,0,4400.0,1.0,inf,inf
4305000,1,10360,1,1,2,inf,0,10360.0,1.0,inf,inf
4277000,2,3400,2,1,3,inf,0,3400.0,1.0,inf,inf
4270000,0,6360,1,1,2,6360.0,0,inf,1.0,inf,inf
4270000,0,6360,2,1,2,6360.0,0,inf,1.0,inf,inf
4270000,2,4500,1,1,2,4500.0,4500,inf,1.0,inf,inf
4270000,0,2175,2,1,3,2175.0,2175,inf,1.0,2175.0,3.0
4270000,0,4360,2,1,4,4360.0,0,inf,1.0,inf,inf
4270000,1,7770,1,1,2,7770.0,0,inf,1.0,inf,inf
4235000,0,6650,2,1,3,inf,0,6650.0,1.0,6650.0,3.0
4235000,0,2787,1,1,3,2787.0,0,inf,1.0,inf,inf
4200000,0,5500,2,1,3,5500.0,5500,inf,1.0,inf,inf
4200000,0,5040,2,1,3,5040.0,5040,inf,1.0,inf,inf
4200000,2,5850,1,1,2,inf,0,5850.0,1.0,5850.0,2.0
4200000,0,2610,2,3,4,inf,0,2610.0,3.0,inf,inf
4200000,0,2953,2,1,3,2953.0,2953,inf,1.0,inf,inf
4200000,0,2747,2,2,4,inf,0,2747.0,2.0,inf,inf
4200000,1,4410,1,1,2,4410.0,0,inf,1.0,inf,inf
4200000,0,4000,2,2,4,inf,0,4000.0,2.0,inf,inf
4200000,0,2325,2,1,3,inf,0,2325.0,1.0,inf,inf
4200000,1,4600,2,2,3,inf,4600,4600.0,2.0,inf,inf
4200000,0,3640,2,2,3,3640.0,0,inf,2.0,inf,inf
4200000,2,5800,1,1,3,inf,0,5800.0,1.0,inf,inf
4200000,3,7000,1,1,3,7000.0,0,inf,1.0,inf,inf
4200000,0,4079,3,1,3,inf,0,4079.0,1.0,inf,inf
4200000,0,3520,2,1,3,inf,0,3520.0,1.0,inf,inf
4200000,1,2145,3,1,3,2145.0,0,inf,1.0,inf,inf
4200000,0,4500,1,1,3,4500.0,0,inf,1.0,inf,inf
4193000,3,8250,1,1,3,inf,0,8250.0,1.0,inf,inf
4193000,1,3450,2,1,3,inf,0,3450.0,1.0,inf,inf
4165000,1,4840,2,1,3,inf,0,4840.0,1.0,inf,inf
4165000,2,4080,2,1,3,inf,0,4080.0,1.0,inf,inf
4165000,1,4046,2,1,3,inf,0,4046.0,1.0,inf,inf
4130000,0,4632,2,1,4,inf,4632,4632.0,1.0,inf,inf
4130000,0,5985,1,1,3,inf,0,5985.0,1.0,inf,inf
4123000,1,6060,1,1,2,inf,0,6060.0,1.0,inf,inf
4098500,0,3600,1,1,3,3600.0,3600,inf,1.0,inf,inf
4095000,0,3680,2,2,3,inf,0,3680.0,2.0,inf,inf
4095000,1,4040,2,1,2,inf,0,4040.0,1.0,inf,inf
4095000,0,5600,1,1,2,inf,5600,5600.0,1.0,inf,inf
4060000,1,5900,2,2,4,5900.0,0,inf,2.0,inf,inf
4060000,2,4992,2,2,3,4992.0,0,inf,2.0,inf,inf
4060000,0,4340,1,1,3,inf,0,4340.0,1.0,inf,inf
4060000,2,3000,3,1,4,inf,3000,3000.0,1.0,inf,inf
4060000,2,4320,2,1,3,4320.0,0,inf,1.0,inf,inf
4025000,2,3630,2,2,3,inf,0,3630.0,2.0,inf,inf
4025000,1,3460,1,2,3,3460.0,3460,inf,2.0,inf,inf
4025000,3,5400,1,1,3,inf,0,5400.0,1.0,inf,inf
4007500,0,4500,2,1,3,inf,4500,4500.0,1.0,inf,inf
4007500,0,3460,2,1,4,inf,3460,3460.0,1.0,inf,inf
3990000,0,4100,1,1,4,4100.0,0,inf,1.0,inf,inf
3990000,1,6480,2,1,3,inf,6480,6480.0,1.0,inf,inf
3990000,0,4500,2,2,3,inf,4500,4500.0,2.0,inf,inf
3990000,0,3960,2,1,3,3960.0,0,inf,1.0,inf,inf
3990000,0,4050,2,1,2,4050.0,0,inf,1.0,4050.0,2.0
3920000,3,7260,1,2,3,7260.0,0,inf,2.0,7260.0,3.0
3920000,0,5500,2,1,4,inf,0,5500.0,1.0,5500.0,4.0
3920000,0,3000,2,1,3,inf,0,3000.0,1.0,inf,inf
3920000,1,3290,1,1,2,3290.0,0,inf,1.0,inf,inf
3920000,2,3816,1,1,2,3816.0,3816,inf,1.0,inf,inf
3920000,2,8080,1,1,3,inf,8080,8080.0,1.0,inf,inf
3920000,0,2145,1,2,4,2145.0,0,inf,2.0,inf,inf
3885000,0,3780,2,1,2,inf,0,3780.0,1.0,3780.0,2.0
3885000,0,3180,2,2,4,3180.0,0,inf,2.0,inf,inf
3850000,0,5300,2,2,5,inf,0,5300.0,2.0,inf,inf
3850000,2,3180,1,2,2,inf,0,3180.0,2.0,inf,inf
3850000,0,7152,2,1,3,7152.0,7152,inf,1.0,inf,inf
3850000,0,4080,1,1,2,inf,0,4080.0,1.0,inf,inf
3850000,0,3850,1,1,2,inf,0,3850.0,1.0,inf,inf
3850000,0,2015,2,1,3,inf,0,2015.0,1.0,inf,inf
3850000,0,2176,2,1,2,inf,0,2176.0,1.0,2176.0,2.0
3836000,0,3350,2,1,3,3350.0,0,inf,1.0,inf,inf
3815000,0,3150,1,2,2,inf,0,3150.0,2.0,inf,inf
3780000,0,4820,2,1,3,inf,0,4820.0,1.0,inf,inf
3780000,1,3420,2,1,2,inf,0,3420.0,1.0,inf,inf
3780000,0,3600,1,1,2,inf,0,3600.0,1.0,inf,inf
3780000,2,5830,1,1,2,5830.0,0,inf,1.0,inf,inf
3780000,0,2856,3,1,3,2856.0,0,inf,1.0,inf,inf
3780000,1,8400,1,1,2,8400.0,0,inf,1.0,inf,inf
3773000,2,8250,1,1,3,8250.0,0,inf,1.0,inf,inf
3773000,1,2520,1,2,5,2520.0,2520,inf,2.0,inf,inf
3773000,1,6930,2,1,4,6930.0,0,inf,1.0,inf,inf
3745000,0,3480,1,1,2,inf,0,3480.0,1.0,inf,inf
3710000,1,3600,1,1,3,3600.0,0,inf,1.0,inf,inf
3710000,0,4040,1,1,2,inf,0,4040.0,1.0,inf,inf
3710000,0,6020,1,1,3,inf,0,6020.0,1.0,inf,inf
3710000,0,4050,1,1,2,4050.0,0,inf,1.0,inf,inf
3710000,0,3584,1,1,2,inf,0,3584.0,1.0,inf,inf
3703000,0,3120,2,1,3,inf,0,3120.0,1.0,inf,inf
3703000,0,5450,1,1,2,5450.0,0,inf,1.0,inf,inf
3675000,0,3630,1,1,2,3630.0,0,inf,1.0,inf,inf
3675000,0,3630,1,1,2,3630.0,3630,inf,1.0,inf,inf
3675000,0,5640,1,1,2,inf,0,5640.0,1.0,inf,inf
3675000,0,3600,1,1,2,3600.0,0,inf,1.0,inf,inf
3640000,2,4280,1,1,2,inf,4280,4280.0,1.0,inf,inf
3640000,0,3570,2,1,3,inf,0,3570.0,1.0,inf,inf
3640000,0,3180,2,1,3,inf,0,3180.0,1.0,inf,inf
3640000,0,3000,2,1,2,3000.0,3000,inf,1.0,inf,inf
3640000,0,3520,1,2,2,inf,0,3520.0,2.0,inf,inf
3640000,0,5960,2,1,3,5960.0,0,inf,1.0,5960.0,3.0
3640000,2,4130,2,2,3,inf,0,4130.0,2.0,inf,inf
3640000,0,2850,2,2,3,2850.0,0,inf,2.0,inf,inf
3640000,0,2275,3,1,3,inf,2275,2275.0,1.0,inf,inf
3633000,2,3520,1,1,3,3520.0,0,inf,1.0,inf,inf
